Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-bege,Edredom Hotelaria 300 Fios Toque de Algodão Casal Queen King Dupla Face Matelassê Super Macio 260x240cm - Bege,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"">EDREDOM HOTELARIA PREMIUM TOQUE DE ALGODÃO<br>Sinta o conforto de um hotel 5 estrelas todos os dias.<br>Se você procura um edredom muito mais macio que os comuns, com toque suave e acabamento elegante, esse modelo é para você.<br>Desenvolvido com toque de algodão, ele entrega uma sensação extremamente confortável, leve e aconchegante ideal para quem valoriza qualidade de verdade.</p> <p class=""MsoNormal"">POR QUE ESSE EDREDOM É DIFERENTE?</p> <p class=""MsoNormal"">Toque de algodão super macio (sensação premium)<br>Muito mais confortável que edredons comuns<br>Percal 300 fios mais sofisticação<br>Dupla face <br>Matelassê elegante estilo hotelaria<br>Não pesa e não esquenta demais<br>Ideal para o ano inteiro</p> <p class=""MsoNormal""> </p> <p class=""MsoNormal"">TAMANHO<br>Medida: 2,60cm x 2,40cm<br>(Caimento perfeito estilo cama de hotel)</p> <p class=""MsoNormal"">CORES DISPONÍVEIS:<br>Branco<br>Cinza<br>Bege<br>Verde</p> <p class=""MsoNormal"">MATERIAL:<br>Tecido: Microfibra premium com toque de algodão<br>Enchimento: 100% Poliéster</p> <p class=""MsoNormal"">IDEAL PARA:<br>Sua casa (mais conforto no dia a dia)<br>Hotéis e pousadas<br>Airbnb (mais avaliações positivas)</p> <p class=""MsoNormal"">Depois desse edredom, sua cama vira o melhor lugar da casa.<br>Compre agora e sinta a diferença já na primeira noite!</p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777586117371_554,0.0,,0,deny,manual,219.00,269.90,true,true,,,,,1777586117371/387,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-bege-69c56f0c5cd5e-large.png?v=1777586120,1,"",false,,,,kg,,,active
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-bege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-bege-69c56f0be7cba-large.png?v=1777586120,2,"",,,,,,,,
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-branco,Edredom Hotelaria 300 Fios Toque de Algodão Casal Queen King Dupla Face Matelassê Super Macio 260x240cm - Branco,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"">EDREDOM HOTELARIA PREMIUM TOQUE DE ALGODÃO<br>Sinta o conforto de um hotel 5 estrelas todos os dias.<br>Se você procura um edredom muito mais macio que os comuns, com toque suave e acabamento elegante, esse modelo é para você.<br>Desenvolvido com toque de algodão, ele entrega uma sensação extremamente confortável, leve e aconchegante ideal para quem valoriza qualidade de verdade.</p> <p class=""MsoNormal"">POR QUE ESSE EDREDOM É DIFERENTE?</p> <p class=""MsoNormal"">Toque de algodão super macio (sensação premium)<br>Muito mais confortável que edredons comuns<br>Percal 300 fios mais sofisticação<br>Dupla face <br>Matelassê elegante estilo hotelaria<br>Não pesa e não esquenta demais<br>Ideal para o ano inteiro</p> <p class=""MsoNormal""> </p> <p class=""MsoNormal"">TAMANHO<br>Medida: 2,60cm x 2,40cm<br>(Caimento perfeito estilo cama de hotel)</p> <p class=""MsoNormal"">CORES DISPONÍVEIS:<br>Branco<br>Cinza<br>Bege<br>Verde</p> <p class=""MsoNormal"">MATERIAL:<br>Tecido: Microfibra premium com toque de algodão<br>Enchimento: 100% Poliéster</p> <p class=""MsoNormal"">IDEAL PARA:<br>Sua casa (mais conforto no dia a dia)<br>Hotéis e pousadas<br>Airbnb (mais avaliações positivas)</p> <p class=""MsoNormal"">Depois desse edredom, sua cama vira o melhor lugar da casa.<br>Compre agora e sinta a diferença já na primeira noite!</p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777586194759_970,0.0,,0,deny,manual,219.00,269.90,true,true,,,,,1777586194759/788,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-branco-69c56f1714d1e-large.png?v=1777586197,1,"",false,,,,kg,,,active
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-branco-69c56f1539f7d-large.png?v=1777586197,2,"",,,,,,,,
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-cinza,Edredom Hotelaria 300 Fios Toque de Algodão Casal Queen King Dupla Face Matelassê Super Macio 260x240cm - Cinza,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"">EDREDOM HOTELARIA PREMIUM TOQUE DE ALGODÃO<br>Sinta o conforto de um hotel 5 estrelas todos os dias.<br>Se você procura um edredom muito mais macio que os comuns, com toque suave e acabamento elegante, esse modelo é para você.<br>Desenvolvido com toque de algodão, ele entrega uma sensação extremamente confortável, leve e aconchegante ideal para quem valoriza qualidade de verdade.</p> <p class=""MsoNormal"">POR QUE ESSE EDREDOM É DIFERENTE?</p> <p class=""MsoNormal"">Toque de algodão super macio (sensação premium)<br>Muito mais confortável que edredons comuns<br>Percal 300 fios mais sofisticação<br>Dupla face <br>Matelassê elegante estilo hotelaria<br>Não pesa e não esquenta demais<br>Ideal para o ano inteiro</p> <p class=""MsoNormal""> </p> <p class=""MsoNormal"">TAMANHO<br>Medida: 2,60cm x 2,40cm<br>(Caimento perfeito estilo cama de hotel)</p> <p class=""MsoNormal"">CORES DISPONÍVEIS:<br>Branco<br>Cinza<br>Bege<br>Verde</p> <p class=""MsoNormal"">MATERIAL:<br>Tecido: Microfibra premium com toque de algodão<br>Enchimento: 100% Poliéster</p> <p class=""MsoNormal"">IDEAL PARA:<br>Sua casa (mais conforto no dia a dia)<br>Hotéis e pousadas<br>Airbnb (mais avaliações positivas)</p> <p class=""MsoNormal"">Depois desse edredom, sua cama vira o melhor lugar da casa.<br>Compre agora e sinta a diferença já na primeira noite!</p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777586123950_866,0.0,,0,deny,manual,0.00,,true,true,,,,,1777586123950/696,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-cinza-69c56f1303869-large.png?v=1777586126,1,"",false,,,,kg,,,active
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-cinza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-cinza-69c56f1260e92-large.png?v=1777586126,2,"",,,,,,,,
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-verde,Edredom Hotelaria 300 Fios Toque de Algodão Casal Queen King Dupla Face Matelassê Super Macio 260x240cm- Verde,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"">EDREDOM HOTELARIA PREMIUM TOQUE DE ALGODÃO<br>Sinta o conforto de um hotel 5 estrelas todos os dias.<br>Se você procura um edredom muito mais macio que os comuns, com toque suave e acabamento elegante, esse modelo é para você.<br>Desenvolvido com toque de algodão, ele entrega uma sensação extremamente confortável, leve e aconchegante ideal para quem valoriza qualidade de verdade.</p> <p class=""MsoNormal"">POR QUE ESSE EDREDOM É DIFERENTE?</p> <p class=""MsoNormal"">Toque de algodão super macio (sensação premium)<br>Muito mais confortável que edredons comuns<br>Percal 300 fios mais sofisticação<br>Dupla face <br>Matelassê elegante estilo hotelaria<br>Não pesa e não esquenta demais<br>Ideal para o ano inteiro</p> <p class=""MsoNormal""> </p> <p class=""MsoNormal"">TAMANHO<br>Medida: 2,60cm x 2,40cm<br>(Caimento perfeito estilo cama de hotel)</p> <p class=""MsoNormal"">CORES DISPONÍVEIS:<br>Branco<br>Cinza<br>Bege<br>Verde</p> <p class=""MsoNormal"">MATERIAL:<br>Tecido: Microfibra premium com toque de algodão<br>Enchimento: 100% Poliéster</p> <p class=""MsoNormal"">IDEAL PARA:<br>Sua casa (mais conforto no dia a dia)<br>Hotéis e pousadas<br>Airbnb (mais avaliações positivas)</p> <p class=""MsoNormal"">Depois desse edredom, sua cama vira o melhor lugar da casa.<br>Compre agora e sinta a diferença já na primeira noite!</p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777586129369_427,0.0,,0,deny,manual,219.00,269.90,true,true,,,,,1777586129369/548,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-verde-69c56f0a10bea-large.png?v=1777586132,1,"",false,,,,kg,,,active
edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/edredom-hotelaria-300-fios-toque-de-algodao-casal-queen-king-dupla-face-matelasse-super-macio-260x240cm-verde-69c56f0ab8751-large.png?v=1777586132,2,"",,,,,,,,
jogo-de-lencol-mona-lisa-3-pcs-casal-300-fios-percal-bordado-bege,Jogo de Lençol Mona lisa 3 Pçs Casal 300 Fios percal Bordado - Bege,"<div class=""theme-title"">
                            Descrição do produto
                        </div> <div class=""-content editor-theme product-description"">
<p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'><span> </span>Jogo de Lençol Mona Lisa com Renda Contrastante <span> </span>Elegância Clássica para o Seu Quarto</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>O Jogo de Lençol <strong>Mona Lisa</strong> traz o equilíbrio perfeito entre sofisticação e conforto. Com design delicado e acabamento em <strong>renda contrastante</strong>, este modelo foi criado para transformar sua cama em um verdadeiro refúgio de beleza e bem-estar.</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Com toque macio e caimento impecável, o kit está disponível em <strong>5 cores elegantes</strong> que combinam com diversos estilos de decoração. A renda aplicada traz charme e personalidade ao enxoval, valorizando ainda mais cada detalhe.</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Disponível nos tamanhos <strong>Casal, Queen e King</strong>, com <strong>3 peças</strong> em cada conjunto.</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Destaques do Produto:</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Renda aplicada em contraste com o tecido do lençol<br>Toque macio e acabamento refinado<br>5 opções de cores sofisticadas<br>Ideal para quem ama um toque clássico e romântico no quarto<br>Qualidade Bella Primavera   referência em enxovais</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'>Composição do Tecido:<br></span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>100% Poliéster de toque macio e fácil manutenção</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 13.5pt; font-family: ""Times New Roman"", serif;'><span> </span>Composição do Kit (3 peças):</span></strong></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Casal (3 peças)</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>  1 Lençol com elástico: 138 x 188 x 30 cm<br>  2 Fronhas: 50 x 70 cm com aplicação de renda</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>Queen (3 peças)</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>  1 Lençol com elástico: 158 x 198 x 38 cm<br>  2 Fronhas: 50 x 70 cm com aplicação de renda</span></p> <p class=""MsoNormal"" style=""line-height: normal;""><strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'>King (3 peças)</span></strong><span style='font-size: 12pt; font-family: ""Times New Roman"", serif;'><br>  1 Lençol com elástico: 193 x 198 x 38 cm<br>  2 Fronhas: 50 x 70 cm com aplicação de renda</span></p>
</div>",Minha loja,,"","",true,Title,Default Title,,,,,,,,SKU_1777586455314_8,0.0,,0,deny,manual,79.00,149.90,true,true,,,,,1777586455314/10,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-mona-lisa-3-pcs-casal-300-fios-percal-bordado-bege-693c0e80a2732-large.png?v=1777586458,1,"",false,,,,kg,,,active
jogo-de-lencol-mona-lisa-3-pcs-casal-300-fios-percal-bordado-bege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/1540/4758/files/jogo-de-lencol-mona-lisa-3-pcs-casal-300-fios-percal-bordado-bege-693c0e8029b63-large.png?v=1777586458,2,"",,,,,,,,
